"Scenario","scen_name","Year","Stage","ktons","capacity","net"
"Momentum__reuse0","Reference",2038,"Pre-processing (ktons of battery)",3424.84431024905,918.387361849208,-2506.45694839985
"Momentum__reuse0","Reference",2038,"Refining (ktons of black mass)",998.583695978275,384.659890081212,-613.923805897063
"Momentum__reuse0","Reference",2039,"Pre-processing (ktons of battery)",4020.84748203112,918.387361849208,-3102.46012018191
"Momentum__reuse0","Reference",2039,"Refining (ktons of black mass)",1168.66771655537,384.659890081212,-784.00782647416
"Momentum__reuse0","Reference",2040,"Pre-processing (ktons of battery)",4797.80716496263,918.387361849208,-3879.41980311343
"Momentum__reuse0","Reference",2040,"Refining (ktons of black mass)",1391.90571130538,384.659890081212,-1007.24582122417
"Momentum__reuse0","Reference",2041,"Pre-processing (ktons of battery)",5642.09259555838,918.387361849208,-4723.70523370917
"Momentum__reuse0","Reference",2041,"Refining (ktons of black mass)",1634.27231586352,384.659890081212,-1249.61242578231
"Momentum__reuse0","Reference",2042,"Pre-processing (ktons of battery)",6404.72917902557,918.387361849208,-5486.34181717636
"Momentum__reuse0","Reference",2042,"Refining (ktons of black mass)",1851.46223198771,384.659890081212,-1466.8023419065
"Momentum__reuse0","Reference",2043,"Pre-processing (ktons of battery)",7274.25405757956,918.387361849208,-6355.86669573035
"Momentum__reuse0","Reference",2043,"Refining (ktons of black mass)",2100.28831865592,384.659890081212,-1715.62842857471
"Momentum__reuse0","Reference",2044,"Pre-processing (ktons of battery)",8110.27934454021,918.387361849208,-7191.891982691
"Momentum__reuse0","Reference",2044,"Refining (ktons of black mass)",2338.95859905836,384.659890081212,-1954.29870897714
"Momentum__reuse0","Reference",2045,"Pre-processing (ktons of battery)",8871.50685397793,918.387361849208,-7953.11949212872
"Momentum__reuse0","Reference",2045,"Refining (ktons of black mass)",2555.38792649388,384.659890081212,-2170.72803641267
"Momentum__reuse0","Reference",2046,"Pre-processing (ktons of battery)",9601.85483037975,918.387361849208,-8683.46746853055
"Momentum__reuse0","Reference",2046,"Refining (ktons of black mass)",2763.30020079253,384.659890081212,-2378.64031071132
"Momentum__reuse0","Reference",2047,"Pre-processing (ktons of battery)",10309.6143084846,918.387361849208,-9391.22694663541
"Momentum__reuse0","Reference",2047,"Refining (ktons of black mass)",2965.58382330406,384.659890081212,-2580.92393322285
"Momentum__reuse0","Reference",2048,"Pre-processing (ktons of battery)",10988.7593692434,918.387361849208,-10070.3720073942
"Momentum__reuse0","Reference",2048,"Refining (ktons of black mass)",3160.67196816591,384.659890081212,-2776.0120780847
